Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707001200.0 1356.0 112 175 351 0 155 NA 182 552 653 0 210 NA 1913 650 1817 564 550 NA 1178 1007 2386 728 849 NA
1707001200.0 136.72411 NA 209 0 NA NA NA NA 283 0 NA NA NA NA 1546 122 NA NA NA NA 2549 389 NA NA NA
1707001200.0 136.761 NA 118 394 0 NA NA NA 159 765 0 NA NA NA 540 18064 711 NA NA NA 603 6354 769 NA NA
1707001200.0 136.7611 NA 201 0 NA NA NA NA 265 0 NA NA NA NA 1820 128 NA NA NA NA 1578 561 NA NA NA
1707001200.0 136.791 NA 142 354 0 NA NA NA 183 636 0 NA NA NA 582 2713 738 NA NA NA 887 2944 967 NA NA
1707001200.0 136.803 NA 139 370 0 NA NA NA 189 722 0 NA NA NA 537 2607 766 NA NA NA 869 2902 967 NA NA
1707001200.0 136.815 NA 124 365 0 NA NA NA 186 730 0 NA NA NA 527 2806 798 NA NA NA 669 3123 1000 NA NA
1707001200.0 136.817 NA 140 471 0 NA NA NA 187 834 0 NA NA NA 485 17193 924 NA NA NA 583 6905 1059 NA NA
1707001200.0 136.818 NA 141 436 0 NA NA NA 183 873 0 NA NA NA 577 17106 880 NA NA NA 604 6282 958 NA NA
1707001200.0 136.819 NA 139 487 0 NA NA NA 186 895 0 NA NA NA 508 19972 950 NA NA NA 587 7674 1126 NA NA
1707001200.0 136.827 NA 137 382 0 NA NA NA 182 640 0 NA NA NA 501 2850 792 NA NA NA 610 3349 1019 NA NA
1707001200.0 136.8311 NA 193 0 NA NA NA NA 275 0 NA NA NA NA 1649 119 NA NA NA NA 1561 234 NA NA NA
1707001200.0 136.832 NA 144 499 0 NA NA NA 186 920 0 NA NA NA 541 24614 936 NA NA NA 389 8546 1038 NA NA
1707001200.0 136.834 NA 141 453 0 NA NA NA 188 838 0 NA NA NA 497 19272 931 NA NA NA 584 7020 1093 NA NA
1707001200.0 136.836 NA 140 477 0 NA NA NA 193 804 0 NA NA NA 555 21373 928 NA NA NA 604 8618 1039 NA NA
1707001200.0 136.839 NA 145 364 0 NA NA NA 189 735 0 NA NA NA 486 2929 802 NA NA NA 510 2917 970 NA NA
1707001200.0 136.842 NA 140 499 0 NA NA NA 188 854 0 NA NA NA 533 20615 1009 NA NA NA 484 7378 1164 NA NA
1707001200.0 136.843 NA 136 465 0 NA NA NA 182 943 0 NA NA NA 561 25864 914 NA NA NA 517 8986 1059 NA NA
1707001200.0 136.8561 NA 263 386 0 NA NA NA 391 698 0 NA NA NA 1527 2801 815 NA NA NA 2141 3664 960 NA NA
1707001200.0 136.8562 NA 243 383 0 NA NA NA 342 688 0 NA NA NA 1379 2713 787 NA NA NA 1673 3213 998 NA NA
1707001200.0 136.858 NA 276 398 0 NA NA NA 393 613 0 NA NA NA 1785 3223 1104 NA NA NA 2000 3860 1679 NA NA
1707001200.0 136.87 NA 277 398 0 NA NA NA 391 697 0 NA NA NA 1906 3499 1120 NA NA NA 2042 3885 1568 NA NA
1707001200.0 136.882 NA 297 442 0 NA NA NA 373 764 0 NA NA NA 1982 4339 1125 NA NA NA 2300 3895 1276 NA NA
1707001200.0 1360.0 114 165 352 0 NA NA 162 598 665 0 NA NA 2831 770 1689 527 NA NA 2695 1218 2604 618 NA NA
1707001200.0 1364.0 NA 175 341 0 NA NA NA 602 670 0 NA NA NA 651 1736 561 NA NA NA 823 2379 737 NA NA
1707001200.0 1365.0 NA 181 355 0 NA NA NA 602 632 0 NA NA NA 649 1795 535 NA NA NA 730 3238 583 NA NA
1707001200.0 139901.0 NA 170 352 0 NA NA NA 555 669 0 NA NA NA 618 1793 566 NA NA NA 868 2783 717 NA NA
1707001200.0 139902.0 NA 185 330 0 NA NA NA 602 675 0 NA NA NA 681 1908 561 NA NA NA 783 2388 632 NA NA
1707001200.0 13992501.0 NA 354 581 0 NA NA NA 616 901 0 NA NA NA 2602 3657 551 NA NA NA 1941 3475 598 NA NA
1707001200.0 140.0 80 193 221 0 NA NA 145 583 320 0 NA NA 2318 355 778 247 NA NA 3085 695 1167 443 NA NA
1707001200.0 140.56 NA 854 0 NA NA NA NA 1398 0 NA NA NA NA 19933 737 NA NA NA NA 8293 868 NA NA NA
1707001200.0 140.57 NA 431 0 NA NA NA NA 845 0 NA NA NA NA 3325 716 NA NA NA NA 3646 1013 NA NA NA
1707001200.0 144.6 NA 321 NA NA NA NA NA 624 NA NA NA NA NA 2525 NA NA NA NA NA 2820 NA NA NA NA
1707001200.0 145.0 95 215 237 0 NA NA 135 539 323 0 NA NA 1962 513 925 251 NA NA 2677 478 1849 397 NA NA
1707001200.0 149.0 84 260 386 0 NA NA 126 598 742 0 NA NA 837 1058 1740 903 NA NA 961 1207 2633 1070 NA NA
1707001200.0 158.1 NA 271 404 0 NA NA NA 642 756 0 NA NA NA 776 1997 1097 NA NA NA 1675 2869 1555 NA NA
1707001200.0 158.2 NA 279 397 0 NA NA NA 640 710 0 NA NA NA 826 2036 1066 NA NA NA 1458 2843 1538 NA NA
1707001200.0 158.3 NA 299 406 0 NA NA NA 597 649 0 NA NA NA 760 2104 1030 NA NA NA 1026 3053 1705 NA NA
1707001200.0 20034.0 NA 313 399 0 NA NA NA 491 690 0 NA NA NA 2375 2558 597 NA NA NA 2049 3177 656 NA NA
1707001200.0 20034.11 NA 329 405 0 NA NA NA 465 660 0 NA NA NA 2376 2352 634 NA NA NA 1885 2619 827 NA NA
1707001200.0 2017.11 444 0 157 218 NA NA 795 0 205 304 NA NA 1626 275 636 554 NA NA 1975 529 972 782 NA NA
1707001200.0 2017.5 423 0 153 218 NA NA 839 0 203 313 NA NA 1328 264 564 507 NA NA 2629 695 1079 1031 NA NA
1707001200.0 2018.12 414 0 154 214 NA NA 885 0 213 298 NA NA 1366 269 572 517 NA NA 1789 400 937 950 NA NA
