Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 25202.0 NA 435 669 0 172 NA NA 619 957 0 256 NA NA 1496 2928 385 430 NA NA 880 2602 579 483 NA
1707084000.0 25215.0 72 168 430 631 0 NA 104 262 589 880 0 NA 55 1819 1506 2870 366 NA 331 1120 1094 2294 434 NA
1707084000.0 25406.18 665 0 205 NA NA NA 819 0 277 NA NA NA 2369 275 598 NA NA NA 1677 460 827 NA NA NA
1707084000.0 321.0 176 269 495 0 NA NA 272 367 713 0 NA NA 2040 407 1263 402 NA NA 1356 522 1752 445 NA NA
1707084000.0 4.17 NA 105 368 0 257 NA NA 163 505 0 335 NA NA 157 2486 309 959 NA NA 337 2386 739 1304 NA
1707084000.0 4.28 NA 136 364 0 NA NA NA 204 489 0 NA NA NA 225 2691 1461 NA NA NA 573 2772 1635 NA NA
1707084000.0 4.29 NA 108 381 0 262 NA NA 167 522 0 337 NA NA 157 2630 305 974 NA NA 220 2359 582 1283 NA
1707084000.0 4.6 NA 377 0 NA NA NA NA 509 0 NA NA NA NA 2475 396 NA NA NA NA 2353 445 NA NA NA
1707084000.0 4001.0 NA 253 454 NA NA NA NA 373 623 NA NA NA NA 600 2064 NA NA NA NA 940 1991 NA NA NA
1707084000.0 4007.0 131 0 0 NA NA NA 206 0 0 NA NA NA 526 131 1209 NA NA NA 623 332 1757 NA NA NA
1707084000.0 4008.0 130 0 0 NA NA NA 207 0 0 NA NA NA 529 128 1225 NA NA NA 784 383 1818 NA NA NA
