Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707084000.0 1318.0 NA 224 396 0 166 NA NA NA NA 317 550 0 252 NA NA NA NA 322 1391 317 395 NA NA NA NA 774 2153 482 562 NA NA NA
1707084000.0 1319.0 NA 227 398 0 NA NA NA NA NA 322 548 0 NA NA NA NA NA 314 1406 323 NA NA NA NA NA 744 1954 473 NA NA NA NA
1707084000.0 132.0 162 185 363 NA NA NA NA NA 275 265 495 NA NA NA NA NA 1728 325 1498 NA NA NA NA NA 1306 568 2323 NA NA NA NA NA
1707084000.0 1320.0 NA 225 400 0 166 NA NA NA NA 312 559 0 247 NA NA NA NA 330 1407 326 396 NA NA NA NA 758 1860 483 625 NA NA NA
1707084000.0 1323.0 NA 223 396 0 NA NA NA NA NA 314 550 0 NA NA NA NA NA 316 1358 318 NA NA NA NA NA 702 1642 493 NA NA NA NA
1707084000.0 1324.0 NA 234 414 0 NA NA NA NA NA 329 584 0 NA NA NA NA NA 352 1522 367 NA NA NA NA NA 769 2051 638 NA NA NA NA
1707084000.0 1325.2 NA 234 414 0 NA NA NA NA NA 320 567 0 NA NA NA NA NA 345 1536 357 NA NA NA NA NA 705 2183 496 NA NA NA NA
1707084000.0 1325.4 NA 235 415 0 NA NA NA NA NA 320 579 0 NA NA NA NA NA 342 1548 362 NA NA NA NA NA 527 2221 643 NA NA NA NA
1707084000.0 1326.0 NA 232 409 0 NA NA NA NA NA 322 559 0 NA NA NA NA NA 329 1450 337 NA NA NA NA NA 532 2119 401 NA NA NA NA
1707084000.0 1327.0 NA 228 407 0 NA NA NA NA NA 314 558 0 NA NA NA NA NA 336 1442 341 NA NA NA NA NA 705 2197 450 NA NA NA NA
1707084000.0 1328.0 NA 237 410 0 NA NA NA NA NA 328 556 0 NA NA NA NA NA 350 1521 353 NA NA NA NA NA 512 2114 456 NA NA NA NA
1707084000.0 1332.0 NA 231 411 0 NA NA NA NA NA 314 553 0 NA NA NA NA NA 352 1486 341 NA NA NA NA NA 814 2195 421 NA NA NA NA
1707084000.0 1333.0 NA 227 402 0 NA NA NA NA NA 317 539 0 NA NA NA NA NA 324 1444 337 NA NA NA NA NA 471 1949 429 NA NA NA NA
1707084000.0 1334.0 NA 234 412 0 NA NA NA NA NA 322 567 0 NA NA NA NA NA 335 1479 355 NA NA NA NA NA 541 1783 473 NA NA NA NA
1707084000.0 1335.0 NA 229 407 0 NA NA NA NA NA 323 557 0 NA NA NA NA NA 328 1429 334 NA NA NA NA NA 651 2064 398 NA NA NA NA
1707084000.0 1336.0 NA 233 419 0 NA NA NA NA NA 319 568 0 NA NA NA NA NA 363 2161 354 NA NA NA NA NA 465 2381 422 NA NA NA NA
1707084000.0 1339.0 NA 236 418 0 NA NA NA NA NA 331 574 0 NA NA NA NA NA 358 1727 348 NA NA NA NA NA 539 1951 408 NA NA NA NA
1707084000.0 134.0 NA 375 89 0 NA NA NA NA NA 498 152 0 NA NA NA NA NA 2606 150 75 NA NA NA NA NA 2703 459 179 NA NA NA NA
1707084000.0 134.708 NA 107 402 0 NA NA NA NA NA 175 570 0 NA NA NA NA NA 153 4057 311 NA NA NA NA NA 240 2705 575 NA NA NA NA
1707084000.0 134.801 NA 104 405 0 NA NA NA NA NA 181 579 0 NA NA NA NA NA 148 3244 300 NA NA NA NA NA 225 2869 451 NA NA NA NA
1707084000.0 134.812 NA 103 408 0 NA NA NA NA NA 172 572 0 NA NA NA NA NA 148 3171 309 NA NA NA NA NA 201 2374 575 NA NA NA NA
1707084000.0 134.912 NA 102 402 0 NA NA NA NA NA 172 577 0 NA NA NA NA NA 155 3040 313 NA NA NA NA NA 446 2548 581 NA NA NA NA
1707084000.0 134.99901 NA 106 400 0 NA NA NA NA NA 179 567 0 NA NA NA NA NA 159 3639 308 NA NA NA NA NA 329 2601 508 NA NA NA NA
1707084000.0 1340.0 NA 226 403 0 NA NA NA NA NA 316 544 0 NA NA NA NA NA 329 1415 335 NA NA NA NA NA 567 2005 416 NA NA NA NA
1707084000.0 1343.0 NA 233 413 0 NA NA NA NA NA 315 560 0 NA NA NA NA NA 355 1540 356 NA NA NA NA NA 721 1878 423 NA NA NA NA
1707084000.0 1344.0 NA 232 410 0 NA NA NA NA NA 317 563 0 NA NA NA NA NA 335 1536 368 NA NA NA NA NA 427 2229 499 NA NA NA NA
1707084000.0 1345.0 NA 231 412 0 NA NA NA NA NA 323 556 0 NA NA NA NA NA 345 1510 343 NA NA NA NA NA 616 1998 407 NA NA NA NA
1707084000.0 1347.0 NA 231 412 0 NA NA NA NA NA 319 561 0 NA NA NA NA NA 339 1460 351 NA NA NA NA NA 425 1882 408 NA NA NA NA
1707084000.0 1348.0 NA 229 404 0 NA NA NA NA NA 313 567 0 NA NA NA NA NA 333 1454 349 NA NA NA NA NA 694 2096 415 NA NA NA NA
1707084000.0 1349.0 NA 229 404 0 NA NA NA NA NA 318 553 0 NA NA NA NA NA 351 1458 349 NA NA NA NA NA 827 2091 419 NA NA NA NA
1707084000.0 1350.0 NA 233 407 0 NA NA NA NA NA 320 567 0 NA NA NA NA NA 337 1461 355 NA NA NA NA NA 690 1860 508 NA NA NA NA
1707084000.0 1351.0 NA 233 404 0 NA NA NA NA NA 322 564 0 NA NA NA NA NA 336 1434 345 NA NA NA NA NA 695 2000 416 NA NA NA NA
1707084000.0 1352.0 NA 229 407 0 NA NA NA NA NA 314 572 0 NA NA NA NA NA 334 1435 342 NA NA NA NA NA 693 2056 439 NA NA NA NA
1707084000.0 1353.0 NA 233 410 0 NA NA NA NA NA 316 557 0 NA NA NA NA NA 340 1529 339 NA NA NA NA NA 443 2061 392 NA NA NA NA
1707084000.0 1354.0 NA 231 415 0 NA NA NA NA NA 314 563 0 NA NA NA NA NA 342 1532 358 NA NA NA NA NA 676 2014 443 NA NA NA NA
1707084000.0 1355.0 NA 234 417 0 NA NA NA NA NA 330 588 0 NA NA NA NA NA 352 1521 349 NA NA NA NA NA 540 1849 456 NA NA NA NA
1707084000.0 1356.0 128 224 443 0 209 NA NA NA 262 310 595 0 296 NA NA NA 1632 333 1516 348 592 NA NA NA 1441 621 2157 487 971 NA NA NA
1707084000.0 136.828 NA 188 564 0 NA NA NA NA NA 269 821 0 NA NA NA NA NA 399 13238 333 NA NA NA NA NA 704 4957 391 NA NA NA NA
1707084000.0 136.834 NA 188 552 0 NA NA NA NA NA 270 805 0 NA NA NA NA NA 383 12767 306 NA NA NA NA NA 704 4902 556 NA NA NA NA
1707084000.0 136.8561 NA 181 444 0 NA NA NA NA NA 264 636 0 NA NA NA NA NA 250 1977 332 NA NA NA NA NA 656 2152 607 NA NA NA NA
1707084000.0 136.8562 NA 177 434 0 NA NA NA NA NA 254 644 0 NA NA NA NA NA 235 1808 310 NA NA NA NA NA 588 2303 429 NA NA NA NA
1707084000.0 136.865 NA 188 519 0 NA NA NA NA NA 266 782 0 NA NA NA NA NA 358 12600 266 NA NA NA NA NA 703 4693 356 NA NA NA NA
1707084000.0 136.8885 NA 179 151 0 NA NA NA NA NA 267 294 0 NA NA NA NA NA 397 564 176 NA NA NA NA NA 409 728 579 NA NA NA NA
1707084000.0 136.9 NA 254 225 313 210 NA NA NA NA 397 352 489 289 NA NA NA NA 6721 1122 1410 942 NA NA NA NA 8189 1335 1769 1221 NA NA NA
1707084000.0 1364.0 NA 231 405 0 NA NA NA NA NA 320 553 0 NA NA NA NA NA 332 1464 348 NA NA NA NA NA 446 2230 425 NA NA NA NA
1707084000.0 1365.0 NA 234 408 0 NA NA NA NA NA 323 567 0 NA NA NA NA NA 342 1470 348 NA NA NA NA NA 501 1897 417 NA NA NA NA
1707084000.0 1366.0 NA 231 406 0 NA NA NA NA NA 315 562 0 NA NA NA NA NA 335 1448 348 NA NA NA NA NA 473 1864 414 NA NA NA NA
1707084000.0 1370.0 70 168 226 412 0 169 NA NA 108 262 313 582 0 256 NA NA 54 1845 334 1467 354 414 NA NA 391 1190 525 2104 518 766 NA NA
1707084000.0 139.003 NA 193 363 0 NA NA NA NA NA 274 528 0 NA NA NA NA NA 274 1800 163 NA NA NA NA NA 289 2084 219 NA NA NA NA
1707084000.0 139901.0 NA 232 410 0 NA NA NA NA NA 329 562 0 NA NA NA NA NA 354 1482 351 NA NA NA NA NA 715 2131 427 NA NA NA NA
