Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707001200.0 135.2 243 0 131 NA NA NA NA NA 279 0 149 NA NA NA NA NA 410 212 264 NA NA NA NA NA 505 223 330 NA NA NA NA NA
1707001200.0 135.3 242 0 131 NA NA NA NA NA 279 0 152 NA NA NA NA NA 421 215 284 NA NA NA NA NA 554 227 358 NA NA NA NA NA
1707001200.0 135.4 258 0 132 NA NA NA NA NA 299 0 156 NA NA NA NA NA 586 239 314 NA NA NA NA NA 674 254 380 NA NA NA NA NA
1707001200.0 135.5 255 0 131 NA NA NA NA NA 296 0 153 NA NA NA NA NA 525 230 338 NA NA NA NA NA 588 242 388 NA NA NA NA NA
1707001200.0 135.6 256 0 133 NA NA NA NA NA 298 0 161 NA NA NA NA NA 598 232 353 NA NA NA NA NA 657 245 403 NA NA NA NA NA
1707001200.0 135.7 258 0 132 NA NA NA NA NA 298 0 156 NA NA NA NA NA 513 233 307 NA NA NA NA NA 599 249 380 NA NA NA NA NA
1707001200.0 135.9 257 0 131 NA NA NA NA NA 299 0 156 NA NA NA NA NA 504 240 306 NA NA NA NA NA 583 265 395 NA NA NA NA NA
1707001200.0 1353.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1356.0 86 195 295 0 134 NA NA NA 107 218 327 0 165 NA NA NA 3556 432 1311 1304 305 NA NA NA 3662 493 1386 1328 357 NA NA NA
1707001200.0 136.721 NA 188 276 0 NA NA NA NA NA 229 324 0 NA NA NA NA NA 2430 5984 699 NA NA NA NA NA 2598 6105 710 NA NA NA NA
1707001200.0 136.722 NA 188 300 0 NA NA NA NA NA 234 346 0 NA NA NA NA NA 2951 6444 755 NA NA NA NA NA 4263 6571 778 NA NA NA NA
1707001200.0 136.723 NA 189 282 0 NA NA NA NA NA 234 334 0 NA NA NA NA NA 2860 6396 746 NA NA NA NA NA 4171 6530 760 NA NA NA NA
1707001200.0 136.724 NA 191 281 0 NA NA NA NA NA 235 355 0 NA NA NA NA NA 4039 7417 658 NA NA NA NA NA 5355 7559 682 NA NA NA NA
1707001200.0 136.725 NA 189 300 0 NA NA NA NA NA 232 360 0 NA NA NA NA NA 2793 6450 749 NA NA NA NA NA 4099 6574 767 NA NA NA NA
1707001200.0 136.726 NA 191 283 0 NA NA NA NA NA 230 336 0 NA NA NA NA NA 3171 6663 685 NA NA NA NA NA 4475 6784 706 NA NA NA NA
1707001200.0 136.727 NA 215 292 0 NA NA NA NA NA 284 346 0 NA NA NA NA NA 2952 6205 769 NA NA NA NA NA 4235 6349 786 NA NA NA NA
1707001200.0 136.728 NA 218 293 0 NA NA NA NA NA 279 344 0 NA NA NA NA NA 3266 6782 684 NA NA NA NA NA 4571 6916 712 NA NA NA NA
1707001200.0 136.729 NA 187 282 0 NA NA NA NA NA 227 326 0 NA NA NA NA NA 2685 6514 760 NA NA NA NA NA 3780 6657 779 NA NA NA NA
1707001200.0 136.73 NA 194 304 0 NA NA NA NA NA 225 359 0 NA NA NA NA NA 2907 6483 759 NA NA NA NA NA 4204 6592 777 NA NA NA NA
1707001200.0 136.731 NA 195 298 0 NA NA NA NA NA 237 360 0 NA NA NA NA NA 2976 6641 740 NA NA NA NA NA 4277 6753 757 NA NA NA NA
1707001200.0 136.732 NA 183 270 0 NA NA NA NA NA 222 316 0 NA NA NA NA NA 1555 4531 700 NA NA NA NA NA 1653 4648 713 NA NA NA NA
1707001200.0 136.7321 NA 185 296 0 NA NA NA NA NA 224 338 0 NA NA NA NA NA 1554 4699 718 NA NA NA NA NA 1644 4805 732 NA NA NA NA
1707001200.0 136.734 NA 191 281 0 NA NA NA NA NA 231 326 0 NA NA NA NA NA 2908 6483 762 NA NA NA NA NA 4213 6605 779 NA NA NA NA
