Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 250202.17 NA 518 598 0 NA NA NA 725 844 0 NA NA NA 6537 2576 471 NA NA NA 2412 2429 554 NA NA
1707084000.0 250203.17 NA 513 586 0 NA NA NA 699 815 0 NA NA NA 6316 2430 456 NA NA NA 2417 2245 565 NA NA
1707084000.0 250205.17 NA 470 583 0 NA NA NA 695 809 0 NA NA NA 6294 2326 456 NA NA NA 2388 1726 656 NA NA
1707084000.0 250206.17 NA 509 582 0 NA NA NA 695 804 0 NA NA NA 6303 2358 468 NA NA NA 2415 3338 534 NA NA
1707084000.0 25034.114 NA 1427 1918 0 NA NA NA 1941 2803 0 NA NA NA 10925 32912 612 NA NA NA 4056 10295 757 NA NA
1707084000.0 250399.0 308 NA NA NA NA NA 420 NA NA NA NA NA 633 NA NA NA NA NA 683 NA NA NA NA NA
1707084000.0 250399.17 366 NA NA NA NA NA 481 NA NA NA NA NA 828 NA NA NA NA NA 621 NA NA NA NA NA
1707084000.0 250399.18 358 NA NA NA NA NA 514 NA NA NA NA NA 936 NA NA NA NA NA 883 NA NA NA NA NA
1707084000.0 250407.0 385 0 198 NA NA NA 525 0 284 NA NA NA 820 222 631 NA NA NA 932 486 1015 NA NA NA
1707084000.0 250407.17 450 0 204 NA NA NA 601 0 286 NA NA NA 979 244 639 NA NA NA 1843 388 1028 NA NA NA
1707084000.0 250407.18 459 0 193 NA NA NA 595 0 284 NA NA NA 973 244 636 NA NA NA 1003 496 1040 NA NA NA
1707084000.0 25200.0 NA 428 670 0 169 NA NA 597 907 0 252 NA NA 1501 2573 379 399 NA NA 1109 2886 500 495 NA
1707084000.0 25202.0 NA 424 651 0 173 NA NA 581 851 0 258 NA NA 1454 2717 383 414 NA NA 873 3017 507 525 NA
1707084000.0 25205.0 NA 427 657 0 170 NA NA 568 872 0 249 NA NA 1533 2605 376 413 NA NA 955 2839 475 653 NA
1707084000.0 25206.0 NA 418 688 0 169 NA NA 586 907 0 251 NA NA 1532 2527 392 404 NA NA 1046 2839 518 751 NA
1707084000.0 25209.0 NA 438 654 0 172 NA NA 598 873 0 261 NA NA 1585 2764 381 412 NA NA 1101 2768 506 482 NA
1707084000.0 25234.911 189 593 560 0 214 NA 273 810 741 0 316 NA 8607 5281 5639 1624 660 NA 4130 3379 3640 1786 887 NA
1707084000.0 4.22 NA 204 123 135 0 NA NA 329 206 215 0 NA NA 744 260 238 207 NA NA 1267 666 514 298 NA
1707084000.0 4.24 NA 126 376 0 NA NA NA 197 526 0 NA NA NA 228 2492 296 NA NA NA 616 2163 364 NA NA
1707084000.0 4.28 NA 133 361 0 NA NA NA 207 522 0 NA NA NA 226 2993 1393 NA NA NA 578 3138 1485 NA NA
1707084000.0 4.6 NA 377 0 NA NA NA NA 516 0 NA NA NA NA 2469 409 NA NA NA NA 2708 621 NA NA NA
1707084000.0 4001.0 NA 248 448 NA NA NA NA 366 631 NA NA NA NA 647 2105 NA NA NA NA 1122 2343 NA NA NA
1707084000.0 4007.0 130 0 0 NA NA NA 211 0 0 NA NA NA 536 128 1240 NA NA NA 800 274 1942 NA NA NA
1707084000.0 4008.0 130 0 0 NA NA NA 212 0 0 NA NA NA 539 132 1206 NA NA NA 1054 389 1588 NA NA NA
1707084000.0 500199.0 291 NA NA NA NA NA 431 NA NA NA NA NA 1201 NA NA NA NA NA 1092 NA NA NA NA NA
1707084000.0 513.0 69 104 0 NA NA NA 113 168 0 NA NA NA 1808 276 156 NA NA NA 6275 474 346 NA NA NA
1707084000.0 537.0 109 0 NA NA NA NA 178 0 NA NA NA NA 3511 151 NA NA NA NA 6158 351 NA NA NA NA
1707084000.0 555.0 70 100 0 NA NA NA 112 174 0 NA NA NA 3155 234 151 NA NA NA 2485 327 344 NA NA NA
1707084000.0 7.5 147 370 184 NA NA NA 218 584 279 NA NA NA 1230 888 503 NA NA NA 1110 837 655 NA NA NA
